scenario,id,confluence,name,parameterids,temporalparameter,streamdependency,streamtype,streamcontent,reviewstatus
AUV_ENG,DICT678,,auv_eng_auv_digital_tx_board,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3589,PD3590,PD3591,PD3592,PD3593,PD3594,PD3595,PD3596,PD3597,PD3598,PD3599,PD3600,PD3412,PD3413,PD3506,PD3507,PD3601,PD3602,PD3431,PD3603,PD3604",PD7,,Engineering,Digital Board Data,
AUV_ENG,DICT679,,auv_eng_auv_digital_tx_board_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3589,PD3590,PD3591,PD3592,PD3593,PD3594,PD3595,PD3596,PD3597,PD3598,PD3599,PD3600,PD3412,PD3413,PD3506,PD3507,PD3601,PD3602,PD3431,PD3603,PD3604",PD7,,Engineering,Digital Board Data,
AUV_ENG,DICT680,,auv_eng_auv_fault_message,"PD7,PD10,PD11,PD12,PD16,PD863,PD3605,PD3606,PD3430,PD3607",PD7,,Engineering,Fault Message Data,
AUV_ENG,DICT681,,auv_eng_auv_fault_message_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3605,PD3606,PD3430,PD3607",PD7,,Engineering,Fault Message Data,
AUV_ENG,DICT682,,auv_eng_auv_state,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3608,PD3575,PD3609,PD3576,PD1276,PD3610,PD3611,PD3492,PD3612,PD3613,PD3614,PD3615,PD3495,PD3616,PD3617,PD3506,PD3618,PD3431,PD3619,PD3412,PD3413,PD3620,PD3621,PD3622,PD3623,PD3624,PD3625,PD3626,PD3627,PD3628,PD3629,PD3630,PD3631,PD3632,PD3633,PD3634,PD3635,PD3636,PD3637,PD3638,PD3639,PD3640,PD3641,PD3642,PD8101",PD7,,Engineering,State Data,
AUV_ENG,DICT683,,auv_eng_auv_state_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3608,PD3575,PD3609,PD3576,PD1276,PD3610,PD3611,PD3492,PD3612,PD3613,PD3614,PD3615,PD3495,PD3616,PD3617,PD3506,PD3618,PD3431,PD3619,PD3412,PD3413,PD3620,PD3621,PD3622,PD3623,PD3624,PD3625,PD3626,PD3627,PD3628,PD3629,PD3630,PD3631,PD3632,PD3633,PD3634,PD3635,PD3636,PD3637,PD3638,PD3639,PD3640,PD3641,PD3642,PD8101",PD7,,Engineering,State Data,
WAVSS_A_DCL,DICT688,,wavss_a_dcl_statistics,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD1136,PD1137,PD312,PD2773,PD2774,PD2775,PD2776,PD2777,PD2778,PD2779,PD2780,PD2781,PD2782,PD2783,PD2784,PD2785,PD2786",PD7,,Science,Statistics Data Products,
WAVSS_A_DCL,DICT689,,wavss_a_dcl_statistics_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD1136,PD1137,PD312,PD2773,PD2774,PD2775,PD2776,PD2777,PD2778,PD2779,PD2780,PD2781,PD2782,PD2783,PD2784,PD2785,PD2786",PD7,,Science,Statistics Data Products,
WINCH_CSPP,DICT691,,winch_cspp_eng,"PD7,PD10,PD11,PD12,PD16,PD863,PD3694,PD3695,PD3696,PD3697,PD3698,PD3699,PD3700,PD3701",PD7,,Engineering,Engineering Data,
NUTNR_N_AUV,DICT692,,nutnr_n_auv_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3643,PD315,PD2320,PD3644,PD321,PD3645,PD322,PD3646,PD324,PD327,PD325,PD2327,PD2328",PD7,,Science,Data Products,
NUTNR_N,DICT693,,nutnr_n_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD18,PD863,PD311,PD312,PD2612,PD2613,PD314,PD315,PD2320,PD2321,PD2322,PD2323,PD2324,PD2325,PD2326,PD332,PD320,PD321,PD322,PD347,PD324,PD327,PD325,PD2327,PD2328,PD316,PD317,PD2329,PD2330,PD2331,PD2614,PD2615,PD2616,PD2617",PD7,,Science,Data Products,
NUTNR_M,DICT694,,nutnr_m_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD18,PD863,PD311,PD312,PD2612,PD2613,PD314,PD315,PD2320,PD2321,PD2322,PD2323,PD2324,PD2325,PD2326,PD332,PD321,PD322,PD324,PD2331,PD2614,PD2615,PD2616,PD2617",PD7,,Science,Data Products,
NUTNR_M_GLIDER,DICT695,,nutnr_m_glider_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD1402,PD1401,PD1495,PD1494,PD3702,PD3703,PD3704,PD3705",PD7,,Science,Data Products,
ZPLSC_C,DICT696,,zplsc_c_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD3730,PD312,PD3731,PD761,PD3742,PD3743,PD3744,PD3745,PD3746,PD3748,PD3749,PD3751,PD3752,PD3754,PD3755,PD3757,PD3758",PD7,,Science,Data Products,
CAMHD_A,DICT697,,camhd_streaming_status,"PD7,PD10,PD11,PD12,PD16,PD863,PD3759,PD3760,PD3761,PD3762,PD3763,PD3764,PD3765,PD3766",PD7,,Engineering,Streaming Status Data,
CAMHD_A,DICT698,,camhd_adread_status,"PD7,PD10,PD11,PD12,PD16,PD863,PD3767,PD3768,PD3769",PD7,,Engineering,Engineering Data,
METBK,DICT699,,metbk_hourly,"PD3074,PD3076,PD3079,PD3080,PD3081,PD3082,PD3083,PD3084,PD3085,PD3086,PD3087,PD3088,PD3089,PD3090,PD3091,PD3092,PD8053",PD3074,"DICT408,DICT409",Science,Flux Data Products Calculated From Hourly Averages,
